id,group_id,name,name_kana,zissen_man_player_id,hokei_man_player_id,zissen_woman_player_id,hokei_woman_player_id,hokei_sonen_player_id
1,19,吉島　安菜,きちじま　あんな,,,1,,
2,12,島宮　満,しまみや　みつる,,,,,1
3,12,大橋　正芳,おおはし　まさよし,1,1,,,
4,13,住友　文香,すみとも　あやか,,,2,,
5,13,小林　夕真,こばやし　ゆうま,,2,,,
6,13,首藤　菜摘,しゅとう　なつみ,,,,1,
7,13,八島　廉,やじま　かど,,,,,
8,13,瀧川　凜,たきがわ　りん,,,,,
9,13,熊谷　風花,くまがい　ふうか,,,,,
10,13,谷本　希,たにもと　のぞみ,,,,,
11,13,中澤　花響,なかざわ　かのん,,,,,
12,13,平野　彩愛,ひらの　あやな,,,,,
13,13,新島　有彩,にいじま　ありさ,,,,,
14,13,坂口 太一,さかぐち　たいち,,,,,
15,13,五十嵐　弘樹,いがらし　ひろき,,,,,
16,13,海野　隼斗,うんの　はやと,,,,,
17,13,越智　洋介,おち　ようすけ,,,,,
18,13,小久保　瑠夏,こくぼ　るか,,,,,
19,13,花岡 雄大,はなおか　たかひろ,,3,,,
20,13,木勢 茉莉,きせ まり,,,3,2,
21,13,大越　美咲,おおこし　みさき,,,4,3,
22,13,星野　菜穂子,ほしの　なおこ,,,,,2
23,13,藤原　政嗣,ふじわら　まさつぐ,,,,,3
24,13,三富　大雅,みとみ　たいが,2,,,,
25,13,郡司　将太郎,ぐんじ　しょうたろう,3,,,,
26,13,頼　佳苗,らい　かなえ,,,,,
27,13,小林　真由,こばやし　まゆ,,,,,
28,13,中嶋　晶子,なかじま　あきこ,,,,,
29,13,並木　將志,なみき　まさし,,,,,
30,17,遠藤　啓太,えんどう　けいた,4,,,,
31,17,根岸　さくら,ねぎし　さくら,,,,4,
32,18,坂本　稔,さかもと　みのる,5,,,,
33,18,土井　嘉津也,どい　かずや,6,,,,
34,18,小沢　亮雄,おざわ　あきお,,,,,
35,18,海老原　魁,えびはら　かい,,,,,
36,18,豊田　航大,とよた　こうだい,,,,,
37,18,向井　一輝,むかい　かずき,,,,,
38,18,猪股　雛,いのまた　ひな,,,5,,
39,18,松永　杏理,まつなが　あんり,,,6,,
40,18,土井　光司,どい　みつじ,,,,,4
41,18,北原　こちづ,きたはら　こちづ,,,,,5
42,18,保坂　由実,ほさか　ゆみ,,,,,
43,4,佐々木　尚希,ささき　なおき,7,4,,,
44,4,小松　優,こまつ　ゆう,,,7,5,
45,4,佐々木　美賀,ささき　みか,,,8,6,
46,11,林　元,はやし　げん,8,,,,
47,11,大島 悠太郎,おおしま ゆうたろう,9,,,,
48,11,稲見　安希子,いなみ　あきこ,,,9,7,
49,11,植田　美輝子,うえだ　みきこ,,,10,,
50,11,八木橋 みづき,やぎはし みづき,,,11,8,
51,11,山香 和希,やまが かずき,,,12,,
52,11,小畠　将幸,こばた　まさゆき,,5,,,
53,11,大島　廉生,おおしま　れん,,6,,,
54,11,長谷川　桜子,はせがわ　さくらこ,,,,9,
55,11,國保　和奏,こくぼ　わかな,,,,10,
56,11,高瀬 友哉,たかせ ゆうや,,,,,
57,11,千倉 佳吾,ちくら けいご,,,,,
58,11,山根　光生,やまね　こうせい,,,,,
59,11,三宅 幸太郎,みやけ こうたろう,,,,,
60,11,虞　嶔崟,ぐ　ちんいん,,,,,
61,11,石野 果穂,いしの かほ,,,,,
62,11,近藤　杏奈,こんどう　あんな,,,,,
63,11,大野　瑞稀,おおの　みずき,,,,,
64,11,曽田　結花子,そだ　ゆかこ,,,,,
65,11,伴 安咲美,とも　あさみ,,,,,
66,11,花岡　拓海,はなおか　たくみ,,,,,
67,11,境野　光,さかいの　ひかる,,,,,
68,11,寺井　翔英,てらい　しょうえい,,,,,
69,11,高柳　美礼,たかやなぎ　みれい,,,,,
70,11,小林 将也,こばやし まさや,,,,,
71,11,武藤　大将,むとう　だいすけ,,,,,
72,11,加納　泰充,かのう　やすみつ,,,,,
73,11,角間　 陸右,かくま りくう,,,,,
74,11,日名地　亮太,ひなじ　りょうた,,,,,
75,11,橋本　智星,はしもと　ちせい,,,,,
76,11,松本　幸嘉,まつもと　さいが,,,,,
77,8,貴島　啓文,きじま　ひろふみ,10,7,,,
78,10,坂本　巧,さかもと　たくみ,11,,,,
79,10,翁長　彦綺,おなが　げんき,12,8,,,
80,10,山田　光流,やまだ　ひかる,,9,,,
81,10,山本　千穂里,やまもと　ちほり,,,13,11,
82,10,坂本　郁恵,さかもと　いくえ,,,14,,
83,10,木村　紗矢香,きむら　さやか,,,,12,
84,10,二ノ宮　健,にのみや　けん,,,,,
85,10,先間　泰史,さきま　たいし,,,,,
86,10,広瀬　将人,ひろせ　まさと,,,,,
87,10,渡辺　伸一郎,わたなべ　しんいちろう,,,,,
88,14,高松 大地,たかまつ　だいち,13,,,,
89,14,吉本 一貴,よしもと かずき,14,,,,
90,14,本田　拓馬,ほんだ　たくま,,,,,
91,14,小松　慎太郎,こまつ　しんたろう,,,,,
92,14,谷井　嶺太,たにい　りょうた,,,,,
93,14,横村 亮太,よこむら　りょうた,,,,,
94,14,良本　真基,りょうもと　まさき,,,,,
95,14,齋藤　健太,さいとう　けんた,,10,,,
96,14,山口 海斗,やまぐち かいと,,11,,,
97,14,下屋 大輔,したや だいすけ,,12,,,
98,14,阿部　哲郎,あべ　てつろう,,13,,,
99,14,阿部 舜,あべ　しゅん,,14,,,
100,14,塚原　泰,つかはら　たい,,,,,
101,14,嶋　航太郎,しま　こうたろう,,,,,
102,14,熊田　将,くまだ　まさし,,,,,
103,14,重村　優太,しげむら　ゆうた,,,,,
104,14,岡部　明人,おかべ　あきと,,,,,
105,14,安藤　颯馬,あんどう　さつま,,,,,
106,14,大西　亮太,おおにし　りょうた,,,,,
107,14,小代田　拓巳,こよだ　たくみ,,,,,
108,14,安武　完,やすたけ　かん,,,,,
109,14,片野　智理,かたの　とものり,,,,,
