id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,38,4,,8,,,
2,16,10,,16,,,
3,70,19,23,,,,
4,37,21,24,,,,
5,64,8,,31,,,
6,6,71,32,,,,
7,2,61,,39,,,
8,18,,40,,,,
9,15,63,,40,,,
10,27,57,41,,,,
11,47,30,,41,,,
12,26,31,42,,,,
13,12,53,,42,,,
14,50,40,43,,,,
15,59,46,,43,,,
16,7,,44,,,,
17,32,66,,44,,,
18,44,35,45,,,,
19,54,3,,45,,,
20,1,42,46,,,,
21,17,58,,46,,,
22,24,62,47,,,,
23,,28,,47,,,
24,,51,,48,,,
25,60,48,48,,,,
26,11,69,,49,,,
27,43,39,49,,,,
28,5,33,,50,,,
29,14,25,50,,,,
30,41,56,,51,,,
31,22,,51,,,,
32,,49,,52,,,
33,45,29,52,,,,
34,55,23,,53,,,
35,52,34,53,,,,
36,68,20,,54,,,
37,67,9,54,,,,
38,36,65,,55,,,
39,13,,55,,,,
40,,,56,,,,
41,,,,56,,,
42,,,57,,,,
43,,,,57,,,
44,,,58,,,,
45,,,,58,,,
46,,,59,,,,
47,,,,59,,,
48,,,,60,,,
49,,,60,,,,
50,,,,61,,,
51,,,61,,,,
52,,,,62,,,
53,,,62,,,,
54,,,,63,,,
55,,,63,,,,
56,,,64,,,,
57,,,,64,,,
58,,,65,,,,
59,,,,65,,,
60,,,,66,,,
61,,,66,,,,
62,,,,67,,,
63,,,67,,,,
64,,,68,,,,
65,,,,68,,,
66,,,,69,,,
67,,,69,,,,
68,,,71,,,,
69,,,,71,,,
70,,,,,,,
71,,,,,,,
