"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
15,4,3,,,1,0,0
16,8,7,,,1,0,0
1,1,16,9,,4,0,1
5,14,3,,11,0,0,0
2,9,8,,9,0,0,0
6,6,11,11,,3,0,0
7,10,7,,12,-1,1,0
3,5,12,10,,3,0,0
4,13,4,,10,0,0,0
9,1,8,13,,0,,
10,5,4,,13,0,,
13,8,4,16,,3,,
8,2,15,12,,3,0,0
11,6,3,,14,1,,
12,2,7,14,,0,,
14,7,3,,16,2,,
