"id","event_id","time_schedule","before_final","final","players_checked","next_unused_num"
13,0,"''",0,0,0,0
1,14,"'9:15-10:15'",0,0,1,0
2,12,"'10:15-11:05'",0,0,1,0
3,2,"'11:05-12:05'",0,0,1,0
4,15,"'12:05-12:40'",0,0,1,1
5,1,"'13:45-14:55'",0,0,1,0
6,17,"'14:55-15:25'",0,0,1,0
7,12,"'15:25-15:29'",1,0,1,0
8,16,"'15:29-15:33'",0,1,1,0
9,4,"'15:33-15:37'",0,1,1,0
11,3,"'15:41-15:45'",0,1,1,0
10,15,"'15:37-15:41'",0,1,1,0
12,17,"'15:45-16:00'",1,0,1,0
