"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
1,1,16,9,,0,0,0
5,14,3,,11,0,0,0
2,9,8,,9,1,0,0
6,6,11,11,,0,0,0
3,5,12,10,,-1,1,0
4,13,4,,10,-1,1,0
7,10,7,,12,1,0,0
9,16,9,13,,0,,
8,2,15,12,,1,0,0
10,12,4,,13,1,,
13,9,12,16,,1,,
11,11,3,,14,0,,
12,2,10,14,,0,,
14,10,3,,16,1,,
15,12,3,,,0,0,0
16,9,10,,,1,0,0
