id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,16,17,,5,,,
2,12,1,8,,,,
3,5,20,9,,,,
4,15,11,,12,,,
5,7,,13,,,,
6,18,3,,13,,,
7,8,6,14,,,,
8,,14,,14,,,
9,,9,,15,,,
10,13,19,15,,,,
11,4,10,,16,,,
12,2,,16,,,,
13,,,17,,,,
14,,,,17,,,
15,,,,18,,,
16,,,18,,,,
17,,,20,,,,
18,,,,20,,,
19,,,,,,,
20,,,,,,,
