id,left_group_id,right_group_id,next_left_id,next_right_id,left_group_flag,left_retire,right_retire
1,1,2,,4,,,
2,8,5,,6,,,
3,3,4,,7,,,
4,9,,7,,,,
5,7,6,,8,,,
6,10,,8,,,,
7,,,10,,,,
8,,,,10,,,
9,,,,,,,
10,,,,,,,
