id,event_id,game_id,group_id
1,6,1,11
2,6,1,2
3,6,1,13
4,6,1,14
5,6,1,1
6,7,1,20
7,7,1,13
8,7,1,18
9,7,1,11
10,7,1,10
11,7,2,23
12,7,2,22
13,7,2,14
14,7,2,1
15,7,2,16
16,8,1,2
17,8,1,1
18,8,1,11
19,8,1,14
20,9,1,13
21,9,1,2
22,9,1,11
23,9,1,14
24,10,1,13
25,10,1,22
26,10,1,1
27,10,1,11
28,10,1,14
29,10,1,20
30,11,1,2
31,11,1,13
32,11,1,1
33,11,1,14
34,11,1,11
