id,left_group_id,right_group_id,next_left_id,next_right_id,left_group_flag,left_retire,right_retire
1,13,11,,8,,,
2,6,2,9,,,,
3,1,8,,9,,,
4,7,12,,10,,,
5,14,15,10,,,,
6,5,4,,11,,,
7,10,3,11,,,,
8,9,,12,,,,
9,,,,12,,,
10,,,,13,,,
11,,,13,,,,
12,,,15,,,,
13,,,,15,,,
14,,,,,,,
15,,,,,,,
