"id","left_group_id","right_group_id","next_left_id","next_right_id","left_group_flag","left_retire","right_retire"
1,10,5,,4,-1,1,0
5,1,11,,8,1,0,0
2,2,4,6,,1,0,0
3,9,7,,7,0,0,0
6,2,8,,9,1,,0
4,3,5,8,,0,0,0
7,6,7,9,,1,0,0
8,5,1,11,,0,,0
9,6,2,,11,2,0,0
10,5,2,,,1,0,0
11,1,6,,,1,0,0
