"id","event_id","time_schedule","before_final","final","players_checked","next_unused_num"
8,0,"''",0,0,0,0
1,9,"'9:45-10:35'",0,0,1,0
2,2,"'10:35-10:45'",0,0,1,0
3,8,"'10:45-11:10'",0,0,1,0
4,6,"'11:10-11:50'",0,0,1,0
5,7,"'11:50-12:50'",0,0,1,1
6,6,"'14:00-14:20'",0,0,1,0
7,6,"'14:20-14:40'",0,0,1,0
