id,group_id,name,name_kana,zissen_man_player_id,hokei_man_player_id,zissen_woman_player_id,hokei_woman_player_id,hokei_sonen_player_id
256,18,木下　光惺,きのした　こうせい,,,,,
257,18,深澤　蘭,ふかざわ　らん　,,,21,,
258,18,土井　光司,どい　みつじ,,,,,11
259,18,北原　こちづ,きたはら　こちづ,,,,,12
260,18,保坂　由実,ほさか　ゆみ,,,,,
261,16,金子　智一,かねこ　ともかず,28,,,,
262,16,太田　寛,おおた　ひろし,,,,,13
263,16,高崎　健一,たかさき　けんいち,,,,,14
264,16,金子　勇太,かねこ　ゆうた,,23,,,
265,16,持田　翔,もちだ　しょう,29,,,,
266,16,藤田　重位,ふじた　しげかた,,,,,
267,16,畠山　夏実,はたけやま　なつみ,,,22,23,
268,16,小川　彪斗,おがわ　たけと,30,,,,
269,16,塚本　元気,つかもと　げんき,,24,,,
270,16,堀米　遼太,ほりごめ　りょうた,,,,,
271,2,山口　莉歩,やまぐち　りほ,,,,24,
272,2,島村　舞,しまむら　まい,,,23,,
273,2,亀井　結佳,かめい　ゆいか,,,,,
274,2,伊澤　空良,いざわ　そら,31,25,,,
275,2,河原田　倫世,かわらだ　ともよ,,,,,
276,2,小松　美稀,こまつ　みき,,,,,
277,29,村上　海月,むらかみ　みづき,,,24,25,
278,29,村上　海里,むらかみ　かいり,,,25,26,
279,8,貴島　啓文,きじま　ひろふみ,32,,,,
280,20,木間　和也,このま　かずや,,,,,
281,20,杉山　優二郎,すぎやま　ゆうじろう,33,,,,
282,20,岩橋　希海,いわばし　のぞみ,,,,,
283,20,岩橋　翔馬,いわはし　しょうま,34,,,,
284,20,加藤　大夢,かとう　たいむ,,26,,,
285,20,高橋　華野,たかはし　かの,,,,27,
286,20,木間　一紀,このま　かずのり,,,,,
