id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_reire
1,2,4,,9,,,
2,8,1,10,,,,
3,6,7,,11,,,
4,13,20,12,,,,
5,23,17,13,,,,
6,15,10,,14,,,
7,5,18,15,,,,
8,22,19,,16,,,
9,16,,17,,,,
10,,14,,17,,,
11,21,,18,,,,
12,,9,,18,,,
13,,24,,19,,,
14,12,,19,,,,
15,,3,,20,,,
16,11,,20,,,,
17,,,21,,,,
18,,,,21,,,
19,,,,22,,,
20,,,22,,,,
21,,,24,,,,
22,,,,24,,,
23,,,,,,,
24,,,,,,,
