"id","group_id","round","main_score","sub1_score","sub2_score","penalty","retire"
12,12,4,5.8,6,6.5,0,0
13,13,4,4.8,5.3,4.8,0,0
14,14,4,6.4,7.9,7.1,0,0
1,1,1,5.1,5.2,5.6,,0
2,2,1,6.4,7.3,6.7,,0
3,3,1,6.8,7.1,7.2,,0
8,8,3,6.2,6.2,5,,0
9,9,3,5,5.4,3.8,,0
10,10,3,5.1,5,4,,0
11,11,3,7,6.6,6,,0
4,4,2,5,6.1,5,,0
5,5,2,7,7.3,7,,0
7,7,2,,,,,1
6,6,2,6.3,7,7.4,,0
15,3,5,7.3,7.6,8.4,,0
16,5,5,6.2,6.4,7,,0
17,11,5,6.7,6.6,7.3,,0
18,14,5,7.1,6.8,7.4,,0
