id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_reire
1,9,19,,6,,,
2,17,3,9,,,,
3,21,8,10,,,,
4,6,5,12,,,,
5,14,16,,13,,,
6,20,,14,,,,
7,1,10,,14,,,
8,4,7,15,,,,
9,,11,,15,,,
10,,15,,16,,,
11,18,13,16,,,,
12,,12,,17,,,
13,2,,17,,,,
14,,,18,,,,
15,,,,18,,,
16,,,,19,,,
17,,,19,,,,
18,,,21,,,,
19,,,,21,,,
20,,,,,,,
21,,,,,,,
