id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_reire
1,1,2,5,,,,
2,3,4,,5,,,
3,6,5,,6,,,
4,8,7,6,,,,
5,,,8,,,,
6,,,,8,,,
7,,,,,,,
8,,,,,,,
