id,left_group_id,right_group_id,next_left_id,next_right_id,left_group_flag,left_retire,right_retire
1,11,2,7,,,,
2,5,6,,6,,,
3,4,1,,7,,,
4,12,8,8,,,,
5,9,3,,9,,,
6,13,,10,,,,
7,,,,10,,,
8,,10,,11,,,
9,7,,11,,,,
10,,,13,,,,
11,,,,13,,,
12,,,,,,,
13,,,,,,,
