"id","group_id","round","main_score","sub1_score","sub2_score","penalty","retire"
16,12,2,7,6.7,7.2,,0
17,8,2,7.6,7.1,7.4,,0
18,13,2,7.5,7.3,7.7,,0
19,3,2,8.8,7.8,8,,0
4,15,1,5.9,4.9,5.2,,0
11,14,1,6.7,6.9,6,,0
5,2,1,5.7,5.3,5,,0
6,7,1,6.5,5.4,6.2,,0
8,1,1,6.2,6,5.3,,0
9,6,1,6.1,6.1,5.8,,0
14,8,1,7.8,7.5,6.4,,0
10,9,1,7,7,6.5,,0
7,10,1,5.5,5.5,4.4,,0
2,11,1,5.6,5.6,5.1,,0
12,3,1,7.6,7.7,7.4,,0
13,13,1,8.1,6.8,7.5,,0
3,5,1,4,2.8,2.8,,0
1,4,1,5.8,5.7,4.8,,0
15,12,1,7.7,6.6,7.2,,0
