"id","left_group_id","right_group_id","next_left_id","next_right_id","left_group_flag","left_retire","right_retire"
13,10,12,,15,1,0,0
15,9,10,,,0,0,0
14,6,12,,,1,0,0
2,6,2,9,,1,0,0
6,5,4,,11,0,0,0
4,7,12,,10,0,0,0
7,10,3,11,,1,0,0
3,1,8,,9,0,0,0
1,13,11,,8,1,0,0
8,9,13,12,,1,0,
5,14,15,10,,1,0,0
11,10,4,13,,1,,
9,6,8,,12,1,,
10,14,12,,13,0,,
12,9,6,15,,1,0,0
