id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,19,12,,4,,,
2,11,22,11,,,,
3,2,24,,19,,,
4,15,,23,,,,
5,28,34,,23,,,
6,17,23,20,,,,
7,25,7,,20,,,
8,1,27,21,,,,
9,35,5,,21,,,
10,31,20,22,,,,
11,,14,,22,,,
12,30,16,,24,,,
13,9,21,24,,,,
14,26,6,,25,,,
15,33,13,25,,,,
16,3,4,,26,,,
17,29,8,26,,,,
18,32,18,,27,,,
19,10,,27,,,,
20,,,,28,,,
21,,,29,,,,
22,,,,29,,,
23,,,28,,,,
24,,,,30,,,
25,,,30,,,,
26,,,,31,,,
27,,,31,,,,
28,,,32,,,,
29,,,,32,,,
30,,,,33,,,
31,,,33,,,,
32,,,35,,,,
33,,,,35,,,
34,,,,,,,
35,,,,,,,
