id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,rigth_retire
1,5,16,,4,,,
2,6,12,7,,,,
3,18,9,,11,,,
4,11,,12,,,,
5,4,19,,12,,,
6,13,3,13,,,,
7,,7,,13,,,
8,2,14,,14,,,
9,8,15,14,,,,
10,10,17,,15,,,
11,1,,15,,,,
12,,,16,,,,
13,,,,16,,,
14,,,,17,,,
15,,,17,,,,
16,,,19,,,,
17,,,,19,,,
18,,,,,,,
19,,,,,,,
