id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,rigth_retire
1,13,8,,9,,,
2,12,9,,10,,,
3,4,16,11,,,,
4,3,11,,11,,,
5,5,17,,12,,,
6,6,14,12,,,,
7,2,15,,13,,,
8,7,10,13,,,,
9,1,,10,,,,
10,,,14,,,,
11,,,,14,,,
12,,,,15,,,
13,,,15,,,,
14,,,17,,,,
15,,,,17,,,
16,,,,,,,
17,,,,,,,
