id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,rigth_retire
1,10,13,,10,,,
2,20,22,11,,,,
3,17,5,,11,,,
4,15,6,,12,,,
5,21,23,13,,,,
6,25,19,14,,,,
7,11,12,,15,,,
8,18,8,16,,,,
9,14,9,,17,,,
10,2,,18,,,,
11,,,,18,,,
12,4,,19,,,,
13,,16,,19,,,
14,,7,,20,,,
15,3,,20,,,,
16,,24,,21,,,
17,1,,21,,,,
18,,,22,,,,
19,,,,22,,,
20,,,,23,,,
21,,,23,,,,
22,,,25,,,,
23,,,,25,,,
24,,,,,,,
25,,,,,,,
